name,category,price,stock,description,badge,brand,image
21MM BI-METAL HOLE SAW,hand-tools,0.75,100,,,TOLSEN,75721.png
20MM BI-METAL HOLE SAW,hand-tools,0.7,100,,,TOLSEN,75720.png
19MM BI-METAL HOLE SAW,hand-tools,0.65,100,,,TOLSEN,75719.png
17MM BI-METAL HOLE SAW,hand-tools,0.6,100,,,TOLSEN,75717.png
16MM BI-METAL HOLE SAW,hand-tools,0.55,100,,,TOLSEN,75716.png
14MM BI-METAL HOLE SAW,hand-tools,0.5,100,,,TOLSEN,75714.png
Engraving Bit-6,hand-tools,2.75,100,,,Dremel,113.png
Engraving Bit-5,hand-tools,2.75,100,,,Dremel,111.png
"Router Bit (HSS) 6,4 mm",hand-tools,3.25,100,,,Dremel,654.png
Straight Router Bit,hand-tools,3,100,,,Dremel,652.png
Straight Router,hand-tools,3.25,100,,,Dremel,650.png
V-Groove Router,hand-tools,3.25,100,,,Dremel,640.png
Piloted Beading Router,hand-tools,5.5,100,,,Dremel,612.png
"1/8"" Brass Brushes",hand-tools,3.5,100,,,Dremel,537.png
"3/4"" Brass Brushes",hand-tools,2.5,100,,,Dremel,535.png
Engraving Bit-4,hand-tools,3.25,100,,,Dremel,110.png
Engraving Bit-3,hand-tools,2.25,100,,,Dremel,108.png
"High Speed Cutter 2,0 mm",hand-tools,2.75,100,,,Dremel,193.png
"High Speed Cutter 7,2 mm",hand-tools,3.75,100,,,Dremel,134.png
"High Speed Cutter 6,4 mm",hand-tools,2.75,100,,,Dremel,117.png
Engraving Bit,hand-tools,2.25,100,,,Dremel,105.png
Carving Bit-5,hand-tools,2.75,100,,,Dremel,196.png
Carving Bit-4,hand-tools,3.25,100,,,Dremel,194.png
Carving Bit-3,hand-tools,3.5,100,,,Dremel,144.png
Carving Bit-2,hand-tools,3.5,100,,,Dremel,125.png
Carving Bit-1,hand-tools,4,100,,,Dremel,115.png
Carving Bit,hand-tools,4.25,100,,,Dremel,114.png
808 Drawer lock Brass,hand-tools,0.4,100,,,Generic,808-Drawer-lock-Brass.png
Auto-darkening welding glasses,tools,5.75,100,,,Total,TSP9405.png
Manual Glass cutter-1,hand-tools,2,100,,,Generic,Glass-G.png
Electric soldering iron 100w,tools,4.25,100,,,Total,TET10006.png
Manual Glass cutter,hand-tools,1.5,100,,,FIXTEC,FHGC01.png
5 inch Welding Magnetic Holder,tools,4.25,100,,,FIXTEC,FHMH05.png
Chian 1mtr,hand-tools,0.75,100,,,Generic,Chain-1m.png
4 inch Welding Magnetic Holder,tools,2.5,100,,,FIXTEC,FHMH04.png
"Combination pliers 6""-1",hand-tools,1.5,100,,,Total,THT110606P.png
3 inch Welding Magnetic Holder,tools,1.5,100,,,FIXTEC,FHMH03.png
Heavy Duty Riveter Set (4 Nozzles),hand-tools,5.5,100,,,Stanley,STHT69800-8.png
800W Plastic tube welding tools,tools,17.25,100,,,INGCO,PTWT8001.png
Knife Blade 100x18mm (10pcs)-1,hand-tools,1.35,100,,,KDS,LB-10B.png
Welding mask-10,tools,1.5,100,,,INGCO,HHWM102.png
Knife Blade 100x18mm (10pcs),hand-tools,1,100,,,Stanley,11-301.png
Portable welding machine 200ah,tools,25,100,,,Genius,GEN-200amp.png
Plastic Hand Brush,hand-tools,0.5,100,,,FIXTEC,FHWB100.png
3in1 Silicone Trowel & Scraper,hand-tools,1.75,100,,,FIXTEC,FHMST190.png
MAGNETIC WELDING HOLDER,tools,0,100,,,TOLSEN,MAGNETIC-WELDING-HOLDER.png
450mm Diamond core bits,hand-tools,22.5,100,,,INGCO,DCB580828.png
Welding Machine Smart MIG 190,tools,100,100,,,Edon,Welding-Machine-Smart-MIG-190.png
7'' Wire Stripper-1,hand-tools,2.75,100,,,FIXTEC,FHWS007.png
Welding Machine Mini MIG 255,tools,90,100,,,Edon,Welding-Machine-Mini-MIG-255.png
